agg_id,x_pos,y_pos,NN_dist,Area,Area_ratio_with_NN,Perimeter,AxesRatio,Solidity,EulerNumber,Ratio_area_filledarea,Eccentricity,EquivDiameter,Orientation,Ratio_eDiameter_perimeter,ave_neigh_area,ratio_area_2_ave_neigh_area,maxAreaN,ratio_area_2_max_neigh_area,min_area_N,ratio_area_2_min_neigh_area,median_area_N,ratio_area_2_median_neigh_area,sum_neigh_area,ratio_area_2_sum_neigh_area,weightSumAreaN1,weightSumAreaN2,avgWeightSumAreaN1,avgWeightSumAreaN2,EquivDiameter_over_NNdist,NNdist_over_EquivDiameter,NNdist_over_avgWeightSumAreaN2,EquivDiameter_over_avgWeightSumAreaN2,sumRadiusNeigh,avgRadiusNeigh,sumNeighborDist,avgNeighborDist,NeighborhoodArea,Ratio_area_2_NeighborhoodArea,NN_area,stable
502,3276.25844594595,4359.45101351351,128.337670316342,6243.75,5.48148148148148,282.93375,0.872921439168073,0.954838709677419,1,1,0.487860800885602,89.1615915483801,17.5474948123394,0.315132399540105,2542.96875,2.45529953917051,3628.125,1.72093023255814,1139.0625,5.48148148148148,3515.625,1.776,15257.8125,0.409216589861751,17365.1964638717,105.19356640615,2894.19941064528,17.5322610676917,0.69474216984463,1.43938290117561,7.32008665743871,5.08557288783969,306.222813162159,51.0371355270264,718.358811742657,119.726468623776,19687.5,0.317142857142857,1139.0625,1
503,3281.73233695652,2283.93342391304,124.440387228399,7762.5,1.50408719346049,303.03,0.86764510923283,0.978723404255319,1,1,0.49718403476414,99.4159039892848,-75.3160455171653,0.328072811237451,7372.265625,1.05293276108727,16073.4375,0.482939632545932,4092.1875,1.89690721649485,4661.71875,1.66515837104072,29489.0625,0.263233190271817,43790.6375049276,165.758592486726,10947.6593762319,41.4396481216816,0.798903846279555,1.25171509019131,3.00293059591137,2.39905280318415,369.102274516945,92.2755686292362,681.315608147459,170.328902036865,20910.9375,0.371217215870881,5160.9375,1
504,3275.05519480519,4111.63636363636,102.047893258112,5414.0625,1.06353591160221,253.44,0.880942385404501,0.979643765903308,1,1,0.473223534492768,83.0264925952416,-82.218547189077,0.327598218889053,5270.625,1.02721451440768,9112.5,0.594135802469136,3543.75,1.52777777777778,6848.4375,0.790554414784394,26353.125,0.205442902881537,45868.8822749989,160.992201398937,9173.77645499978,32.1984402797873,0.813603200854335,1.22910037589569,3.16934274987764,2.57858740590493,360.074043492483,72.0148086984967,661.640970777943,132.328194155589,17128.125,0.316091954022989,5090.625,1
508,3315.39267015707,2966.10602094241,63.8153667493562,8057.8125,7.34615384615385,342.075,0.592281675520824,0.964646464646465,1,1,0.805730982923113,101.289315917629,-15.2638424436091,0.296102655609528,4692.1875,1.71728271728272,7551.5625,1.06703910614525,1096.875,7.34615384615385,5428.125,1.48445595854922,14076.5625,0.572427572427572,40583.1082376233,84.9037486640688,13527.7027458744,28.3012495546896,1.58722453661447,0.630030582902271,2.25486039498146,3.57896974555476,218.560996652358,72.853665550786,444.978900783178,148.326300261059,12375,0.651136363636364,1096.875,1
512,3329.46428571429,1175.91165413534,127.52204535604,5610.9375,1.87323943661972,267.735,0.807907154267515,0.954545454545455,1,1,0.589309791267179,84.5225857865071,-41.6672507333142,0.31569494383068,4545,1.2345297029703,7748.4375,0.724137931034483,1012.5,5.54166666666667,4612.5,1.21646341463415,22725,0.246905940594059,33910.9607893509,126.624113986477,6782.19215787018,25.3248227972954,0.662807638871547,1.50873336599218,5.03545657068363,3.33753908025503,363.581759575953,72.7163519151906,880.271903023594,176.054380604719,13654.6875,0.41091658084449,2995.3125,1
513,3338.00857843137,3942.30392156863,179.504357173767,8606.25,1.18604651162791,328.71,0.774571482440562,0.965299684542587,1,1,0.632486378185199,104.679596062829,79.5196224996284,0.318455769714425,5903.90625,1.45772131798333,9112.5,0.944444444444444,5090.625,1.69060773480663,7256.25,1.18604651162791,35423.4375,0.242953552997221,39805.7147297987,177.150430708934,6634.28578829979,29.5250717848224,0.583159081545273,1.71479795418802,6.07972635873634,3.54544763940727,471.705573271894,78.6175955453157,993.653334483386,165.608889080564,14540.625,0.591876208897485,7256.25,1
516,3344.81831395349,3762.92877906977,179.504357173767,7256.25,0.843137254901961,296.45625,0.880827226197837,0.966292134831461,1,1,0.473437849763435,96.119428038688,71.1329367729681,0.324228037151141,6746.484375,1.07556018759771,9885.9375,0.733997155049787,3459.375,2.09756097560976,6820.3125,1.0639175257732,26985.9375,0.268890046899427,28181.36173494,144.105584302326,7045.34043373501,36.0263960755815,0.535471280764737,1.86751378817524,4.98257879575787,2.66802784927569,363.301656401735,90.8254141004337,756.726900353963,189.181725088491,14371.875,0.504892367906067,8606.25,1
520,3381.88775510204,1725.5931122449,133.56091290093,5512.5,0.6272,268.575,0.89982932439497,0.949152542372881,1,1,0.436242119652484,83.7778788843009,15.5615146811175,0.311934762670766,4373.4375,1.2604501607717,8789.0625,0.6272,1532.8125,3.59633027522936,3585.9375,1.53725490196078,17493.75,0.315112540192926,19734.668689761,117.716584799367,4933.66717244024,29.4291461998418,0.627263449048479,1.59422647934762,4.53838898328787,2.84676552678077,282.25304841947,70.5632621048675,633.762509132369,158.440627283092,18759.375,0.293853073463268,8789.0625,1
521,3377.20708446867,2204.12125340599,124.440387228399,5160.9375,0.664855072463768,252.7575,0.857466782578382,0.963254593175853,1,1,0.514539324808783,81.0623816138326,-32.682716114204,0.320712072297885,3364.453125,1.53396029258098,7762.5,0.664855072463768,1223.4375,4.2183908045977,4471.875,1.15408805031447,13457.8125,0.383490073145246,15239.872997907,97.9593112119646,3809.96824947675,24.4898278029911,0.651415375822081,1.5351188152997,5.08130919618797,3.31004293970298,214.341040993587,53.5852602483966,486.825431028287,121.706357757072,16875,0.305833333333333,7762.5,1
522,3374.84461325967,4132.98687845304,102.047893258112,5090.625,0.94025974025974,253.6875,0.860455540577267,0.957671957671958,1,1,0.509525527024783,80.5082918550471,-87.0665980939081,0.317352222143571,5315.625,0.957671957671958,8606.25,0.591503267973856,3515.625,1.448,5414.0625,0.94025974025974,26578.125,0.191534391534392,43381.0282719835,171.614314911606,8676.20565439669,34.3228629823211,0.788926545023477,1.26754512990844,2.97317544025027,2.3456170278253,405.453433987646,81.0906867975292,841.923698520524,168.384739704105,18576.5625,0.274034822104466,5414.0625,1
